id,number,departure,arrival,status,delay,aircraft_id,airport_departure_id,airport_arrival_id,fare_tariff_id
2427,PG0657,2017-08-16 13:15:00.000000 +00:00,2017-08-16 15:30:00.000000 +00:00,Arrived,,82,418,983,15
2607,PG0029,2017-08-16 06:40:00.000000 +00:00,2017-08-16 08:25:00.000000 +00:00,Arrived,,97,368,336,4
2615,PG0030,2017-08-16 08:55:00.000000 +00:00,2017-08-16 10:40:00.000000 +00:00,Arrived,,97,380,567,5
2783,PG0196,2017-08-16 09:10:00.000000 +00:00,2017-08-16 10:40:00.000000 +00:00,Arrived,,10,429,129,14
2865,PG0454,2017-08-16 07:05:00.000000 +00:00,2017-08-16 07:40:00.000000 +00:00,Arrived,,82,498,747,28
3025,PG0384,2017-08-16 09:10:00.000000 +00:00,2017-08-16 09:40:00.000000 +00:00,Arrived,,52,742,682,28
3026,PG0383,2017-08-16 11:50:00.000000 +00:00,2017-08-16 12:20:00.000000 +00:00,Arrived,,61,871,809,3
3122,PG0118,2017-08-15 16:55:00.000000 +00:00,2017-08-15 17:40:00.000000 +00:00,Arrived,,93,444,831,12
3140,PG0337,2017-08-16 09:45:00.000000 +00:00,2017-08-16 11:10:00.000000 +00:00,Arrived,,80,714,270,29
3273,PG0227,2017-08-16 06:45:00.000000 +00:00,2017-08-16 07:35:00.000000 +00:00,Arrived,,88,567,904,20
3274,PG0228,2017-08-16 08:25:00.000000 +00:00,2017-08-16 09:15:00.000000 +00:00,Arrived,,84,776,224,30
3275,PG0229,2017-08-16 08:50:00.000000 +00:00,2017-08-16 09:40:00.000000 +00:00,Arrived,,63,767,470,23
3426,PG0671,2017-08-16 10:05:00.000000 +00:00,2017-08-16 13:20:00.000000 +00:00,Arrived,,28,981,786,19
3481,PG0412,2017-08-16 08:00:00.000000 +00:00,2017-08-16 09:25:00.000000 +00:00,Arrived,,83,371,152,9
3687,PG0050,2017-08-16 11:20:00.000000 +00:00,2017-08-16 12:20:00.000000 +00:00,Arrived,,4,951,128,26
3791,PG0007,2017-08-16 09:40:00.000000 +00:00,2017-08-16 11:50:00.000000 +00:00,Arrived,,63,589,566,6
3804,PG0008,2017-08-16 08:45:00.000000 +00:00,2017-08-16 10:55:00.000000 +00:00,Arrived,,6,771,450,11
3865,PG0450,2017-08-15 15:35:00.000000 +00:00,2017-08-15 23:50:00.000000 +00:00,Arrived,,15,750,868,10
3929,PG0126,2017-08-16 07:55:00.000000 +00:00,2017-08-16 10:45:00.000000 +00:00,Arrived,,18,736,622,27
4011,PG0442,2017-08-16 12:45:00.000000 +00:00,2017-08-16 15:45:00.000000 +00:00,Arrived,,90,8,870,30
4093,PG0138,2017-08-16 07:15:00.000000 +00:00,2017-08-16 08:20:00.000000 +00:00,Arrived,,57,143,994,30
4253,PG0200,2017-08-15 16:20:00.000000 +00:00,2017-08-16 00:45:00.000000 +00:00,Arrived,,15,500,632,1
4264,PG0553,2017-08-16 10:45:00.000000 +00:00,2017-08-16 12:25:00.000000 +00:00,Arrived,,32,836,583,11
4345,PG0176,2017-08-16 11:50:00.000000 +00:00,2017-08-16 12:45:00.000000 +00:00,Arrived,,81,232,354,3
4438,PG0448,2017-08-15 15:30:00.000000 +00:00,2017-08-15 17:15:00.000000 +00:00,Arrived,,67,620,903,3
4468,PG0515,2017-08-16 11:00:00.000000 +00:00,2017-08-16 13:00:00.000000 +00:00,Arrived,,92,211,791,3
4535,PG0234,2017-08-16 12:15:00.000000 +00:00,2017-08-16 12:40:00.000000 +00:00,Arrived,,9,807,425,12
4646,PG0235,2017-08-15 16:50:00.000000 +00:00,2017-08-15 17:15:00.000000 +00:00,Arrived,,66,667,342,3
4734,PG0561,2017-08-16 09:30:00.000000 +00:00,2017-08-16 11:15:00.000000 +00:00,Arrived,,7,852,913,25
4769,PG0669,2017-08-16 13:15:00.000000 +00:00,2017-08-16 15:45:00.000000 +00:00,Arrived,,69,685,836,1
4853,PG0146,2017-08-16 09:30:00.000000 +00:00,2017-08-16 11:30:00.000000 +00:00,Arrived,,28,199,160,9
4915,PG0358,2017-08-16 09:05:00.000000 +00:00,2017-08-16 09:50:00.000000 +00:00,Arrived,,47,181,336,18
9999,AA0718,2017-07-16 09:35:00.000000 +00:00,2017-07-16 10:30:00.000000 +00:00,Scheduled,,105,1,2,1
99991,BB0718,2017-07-16 09:35:00.000000 +00:00,2017-07-16 10:30:00.000000 +00:00,Scheduled,,105,1,2,1
5,PG0405,2017-08-16 06:35:00.000000 +00:00,2017-08-16 07:30:00.000000 +00:00,Arrived,,45,85,798,17
1,PG0405,2017-07-16 06:35:00.000000 +00:00,2017-07-16 07:30:00.000000 +00:00,Arrived,,20,401,76,10
2,PG0404,2017-08-05 16:05:00.000000 +00:00,2017-08-05 17:00:00.000000 +00:00,Arrived,,12,446,217,21
3,PG0405,2017-08-05 06:35:00.000000 +00:00,2017-08-05 07:30:00.000000 +00:00,Arrived,,71,720,513,23
4,PG0402,2017-09-09 09:25:00.000000 +00:00,2017-09-09 10:20:00.000000 +00:00,Scheduled,,14,674,739,16
6,PG0404,2017-08-16 16:05:00.000000 +00:00,2017-08-16 17:00:00.000000 +00:00,Scheduled,,67,11,464,30
7,PG0403,2017-08-16 08:25:00.000000 +00:00,2017-08-16 09:20:00.000000 +00:00,Delayed,164,53,906,140,7
9,PG0405,2017-08-25 06:35:00.000000 +00:00,2017-08-25 07:30:00.000000 +00:00,Scheduled,,2,32,366,9
10,PG0402,2017-08-23 09:25:00.000000 +00:00,2017-08-23 10:20:00.000000 +00:00,Scheduled,,71,16,8,15
11,PG0403,2017-08-23 08:25:00.000000 +00:00,2017-08-23 09:20:00.000000 +00:00,Scheduled,,96,588,9,5
12,PG0404,2017-08-23 16:05:00.000000 +00:00,2017-08-23 17:00:00.000000 +00:00,Scheduled,,26,306,842,21
13,PG0405,2017-08-23 06:35:00.000000 +00:00,2017-08-23 07:30:00.000000 +00:00,Scheduled,,43,53,359,5
14,PG0402,2017-08-06 09:25:00.000000 +00:00,2017-08-06 10:20:00.000000 +00:00,Arrived,,65,608,373,16
15,PG0402,2017-07-28 09:25:00.000000 +00:00,2017-07-28 10:20:00.000000 +00:00,Arrived,,2,433,543,13
16,PG0403,2017-08-06 08:25:00.000000 +00:00,2017-08-06 09:20:00.000000 +00:00,Arrived,,88,563,88,15
17,PG0404,2017-08-06 16:05:00.000000 +00:00,2017-08-06 17:00:00.000000 +00:00,Arrived,,47,203,503,7
18,PG0405,2017-08-06 06:35:00.000000 +00:00,2017-08-06 07:30:00.000000 +00:00,Arrived,,38,777,194,4
19,PG0403,2017-07-28 08:25:00.000000 +00:00,2017-07-28 09:20:00.000000 +00:00,Arrived,,18,139,147,14
20,PG0403,2017-07-26 08:25:00.000000 +00:00,2017-07-26 09:20:00.000000 +00:00,Arrived,,97,729,541,2
21,PG0405,2017-07-19 06:35:00.000000 +00:00,2017-07-19 07:30:00.000000 +00:00,Arrived,,28,210,900,8
22,PG0404,2017-07-19 16:05:00.000000 +00:00,2017-07-19 17:00:00.000000 +00:00,Arrived,,62,564,260,19
23,PG0403,2017-07-19 08:25:00.000000 +00:00,2017-07-19 09:20:00.000000 +00:00,Arrived,,54,935,103,17
24,PG0402,2017-07-19 09:25:00.000000 +00:00,2017-07-19 10:20:00.000000 +00:00,Arrived,,29,162,953,17
25,PG0404,2017-07-28 16:05:00.000000 +00:00,2017-07-28 17:00:00.000000 +00:00,Arrived,,92,494,343,18
26,PG0405,2017-08-12 06:35:00.000000 +00:00,2017-08-12 07:30:00.000000 +00:00,Arrived,,88,187,428,12
27,PG0404,2017-08-12 16:05:00.000000 +00:00,2017-08-12 17:00:00.000000 +00:00,Arrived,,37,535,619,13
28,PG0405,2017-09-03 06:35:00.000000 +00:00,2017-09-03 07:30:00.000000 +00:00,Scheduled,,50,749,423,21
29,PG0403,2017-08-12 08:25:00.000000 +00:00,2017-08-12 09:20:00.000000 +00:00,Arrived,,67,790,495,15
30,PG0402,2017-08-12 09:25:00.000000 +00:00,2017-08-12 10:20:00.000000 +00:00,Arrived,,52,138,805,7
31,PG0404,2017-09-03 16:05:00.000000 +00:00,2017-09-03 17:00:00.000000 +00:00,Scheduled,,79,522,8,10
32,PG0403,2017-09-03 08:25:00.000000 +00:00,2017-09-03 09:20:00.000000 +00:00,Scheduled,,72,556,296,24
33,PG0402,2017-09-03 09:25:00.000000 +00:00,2017-09-03 10:20:00.000000 +00:00,Scheduled,,4,901,526,17
34,PG0402,2017-08-07 09:25:00.000000 +00:00,2017-08-07 10:20:00.000000 +00:00,Arrived,,15,248,161,25
35,PG0403,2017-08-07 08:25:00.000000 +00:00,2017-08-07 09:20:00.000000 +00:00,Arrived,,71,917,790,26
36,PG0404,2017-08-07 16:05:00.000000 +00:00,2017-08-07 17:00:00.000000 +00:00,Arrived,,58,711,860,17
37,PG0405,2017-08-07 06:35:00.000000 +00:00,2017-08-07 07:30:00.000000 +00:00,Arrived,,53,585,474,1
38,PG0405,2017-07-28 06:35:00.000000 +00:00,2017-07-28 07:30:00.000000 +00:00,Arrived,,83,214,935,2
39,PG0405,2017-09-08 06:35:00.000000 +00:00,2017-09-08 07:30:00.000000 +00:00,Scheduled,,98,216,850,17
40,PG0402,2017-09-13 09:25:00.000000 +00:00,2017-09-13 10:20:00.000000 +00:00,Scheduled,,70,932,187,23
41,PG0403,2017-09-13 08:25:00.000000 +00:00,2017-09-13 09:20:00.000000 +00:00,Scheduled,,75,19,454,9
42,PG0404,2017-09-13 16:05:00.000000 +00:00,2017-09-13 17:00:00.000000 +00:00,Scheduled,,50,438,248,26
43,PG0405,2017-09-13 06:35:00.000000 +00:00,2017-09-13 07:30:00.000000 +00:00,Scheduled,,20,83,674,21
44,PG0404,2017-09-08 16:05:00.000000 +00:00,2017-09-08 17:00:00.000000 +00:00,Scheduled,,77,707,632,26
45,PG0403,2017-09-08 08:25:00.000000 +00:00,2017-09-08 09:20:00.000000 +00:00,Scheduled,,62,686,204,21
46,PG0405,2017-08-15 06:35:00.000000 +00:00,2017-08-15 07:30:00.000000 +00:00,Arrived,,60,19,543,27
48,PG0403,2017-08-15 08:25:00.000000 +00:00,2017-08-15 09:20:00.000000 +00:00,Arrived,,3,474,36,6
49,PG0402,2017-08-15 09:25:00.000000 +00:00,2017-08-15 10:20:00.000000 +00:00,Arrived,,28,826,71,19
50,PG0402,2017-08-08 09:25:00.000000 +00:00,2017-08-08 10:20:00.000000 +00:00,Arrived,,15,343,412,18
51,PG0403,2017-08-08 08:25:00.000000 +00:00,2017-08-08 09:20:00.000000 +00:00,Arrived,,8,684,814,18
52,PG0404,2017-08-08 16:05:00.000000 +00:00,2017-08-08 17:00:00.000000 +00:00,Arrived,,6,638,993,9
53,PG0405,2017-08-08 06:35:00.000000 +00:00,2017-08-08 07:30:00.000000 +00:00,Arrived,,55,872,937,7
54,PG0405,2017-07-18 06:35:00.000000 +00:00,2017-07-18 07:30:00.000000 +00:00,Arrived,,84,402,618,11
55,PG0404,2017-07-18 16:05:00.000000 +00:00,2017-07-18 17:00:00.000000 +00:00,Arrived,,67,304,924,8
56,PG0403,2017-07-18 08:25:00.000000 +00:00,2017-07-18 09:20:00.000000 +00:00,Arrived,,45,879,520,27
57,PG0402,2017-07-18 09:25:00.000000 +00:00,2017-07-18 10:20:00.000000 +00:00,Arrived,,58,507,775,3
58,PG0402,2017-09-08 09:25:00.000000 +00:00,2017-09-08 10:20:00.000000 +00:00,Scheduled,,52,740,151,8
59,PG0402,2017-07-26 09:25:00.000000 +00:00,2017-07-26 10:20:00.000000 +00:00,Arrived,,80,195,788,13
60,PG0402,2017-07-16 09:25:00.000000 +00:00,2017-07-16 10:20:00.000000 +00:00,Arrived,,37,649,903,9
61,PG0403,2017-07-16 08:25:00.000000 +00:00,2017-07-16 09:20:00.000000 +00:00,Arrived,,47,942,205,2
62,PG0404,2017-07-16 16:05:00.000000 +00:00,2017-07-16 17:00:00.000000 +00:00,Arrived,,71,770,710,30
63,PG0402,2017-08-30 09:25:00.000000 +00:00,2017-08-30 10:20:00.000000 +00:00,Scheduled,,55,339,637,19
64,PG0403,2017-08-30 08:25:00.000000 +00:00,2017-08-30 09:20:00.000000 +00:00,Scheduled,,75,572,474,4
65,PG0405,2017-09-02 06:35:00.000000 +00:00,2017-09-02 07:30:00.000000 +00:00,Scheduled,,26,330,726,15
66,PG0404,2017-09-02 16:05:00.000000 +00:00,2017-09-02 17:00:00.000000 +00:00,Scheduled,,74,500,539,5
67,PG0404,2017-07-26 16:05:00.000000 +00:00,2017-07-26 17:00:00.000000 +00:00,Arrived,,13,439,850,16
68,PG0403,2017-09-02 08:25:00.000000 +00:00,2017-09-02 09:20:00.000000 +00:00,Scheduled,,65,371,977,15
69,PG0402,2017-09-02 09:25:00.000000 +00:00,2017-09-02 10:20:00.000000 +00:00,Scheduled,,17,296,633,27
70,PG0404,2017-08-30 16:05:00.000000 +00:00,2017-08-30 17:00:00.000000 +00:00,Scheduled,,74,831,545,28
71,PG0405,2017-08-30 06:35:00.000000 +00:00,2017-08-30 07:30:00.000000 +00:00,Scheduled,,37,166,160,15
72,PG0402,2017-08-09 09:25:00.000000 +00:00,2017-08-09 10:20:00.000000 +00:00,Arrived,,2,795,338,12
73,PG0403,2017-08-09 08:25:00.000000 +00:00,2017-08-09 09:20:00.000000 +00:00,Arrived,,75,101,25,2
74,PG0404,2017-08-09 16:05:00.000000 +00:00,2017-08-09 17:00:00.000000 +00:00,Arrived,,69,358,45,23
75,PG0405,2017-08-09 06:35:00.000000 +00:00,2017-08-09 07:30:00.000000 +00:00,Arrived,,15,624,935,15
76,PG0405,2017-09-09 06:35:00.000000 +00:00,2017-09-09 07:30:00.000000 +00:00,Scheduled,,11,219,628,20
77,PG0402,2017-08-21 09:25:00.000000 +00:00,2017-08-21 10:20:00.000000 +00:00,Scheduled,,43,425,36,26
78,PG0402,2017-09-14 09:25:00.000000 +00:00,2017-09-14 10:20:00.000000 +00:00,Scheduled,,59,843,743,26
79,PG0403,2017-09-14 08:25:00.000000 +00:00,2017-09-14 09:20:00.000000 +00:00,Scheduled,,32,436,147,8
80,PG0404,2017-09-14 16:05:00.000000 +00:00,2017-09-14 17:00:00.000000 +00:00,Scheduled,,18,344,84,17
81,PG0405,2017-09-14 06:35:00.000000 +00:00,2017-09-14 07:30:00.000000 +00:00,Scheduled,,87,792,237,14
82,PG0402,2017-08-13 09:25:00.000000 +00:00,2017-08-13 10:20:00.000000 +00:00,Arrived,,22,778,818,13
83,PG0402,2017-08-10 09:25:00.000000 +00:00,2017-08-10 10:20:00.000000 +00:00,Arrived,,41,807,444,4
84,PG0403,2017-08-10 08:25:00.000000 +00:00,2017-08-10 09:20:00.000000 +00:00,Arrived,,13,489,741,29
85,PG0404,2017-08-10 16:05:00.000000 +00:00,2017-08-10 17:00:00.000000 +00:00,Arrived,,94,64,208,30
86,PG0405,2017-08-10 06:35:00.000000 +00:00,2017-08-10 07:30:00.000000 +00:00,Arrived,,34,374,282,15
87,PG0405,2017-07-17 06:35:00.000000 +00:00,2017-07-17 07:30:00.000000 +00:00,Arrived,,86,869,468,6
88,PG0404,2017-07-17 16:05:00.000000 +00:00,2017-07-17 17:00:00.000000 +00:00,Arrived,,15,570,879,20
89,PG0403,2017-07-17 08:25:00.000000 +00:00,2017-07-17 09:20:00.000000 +00:00,Arrived,,57,840,439,9
90,PG0402,2017-07-17 09:25:00.000000 +00:00,2017-07-17 10:20:00.000000 +00:00,Arrived,,14,299,97,2
91,PG0405,2017-08-14 06:35:00.000000 +00:00,2017-08-14 07:30:00.000000 +00:00,Arrived,,3,401,384,1
92,PG0404,2017-08-14 16:05:00.000000 +00:00,2017-08-14 17:00:00.000000 +00:00,Arrived,,52,825,128,6
93,PG0403,2017-08-14 08:25:00.000000 +00:00,2017-08-14 09:20:00.000000 +00:00,Arrived,,36,408,674,16
94,PG0402,2017-08-24 09:25:00.000000 +00:00,2017-08-24 10:20:00.000000 +00:00,Scheduled,,63,300,40,8
95,PG0403,2017-08-24 08:25:00.000000 +00:00,2017-08-24 09:20:00.000000 +00:00,Scheduled,,12,235,342,16
96,PG0402,2017-08-14 09:25:00.000000 +00:00,2017-08-14 10:20:00.000000 +00:00,Arrived,,92,959,38,22
97,PG0404,2017-08-24 16:05:00.000000 +00:00,2017-08-24 17:00:00.000000 +00:00,Scheduled,,50,344,210,29
98,PG0405,2017-08-24 06:35:00.000000 +00:00,2017-08-24 07:30:00.000000 +00:00,Scheduled,,10,739,976,29
99,PG0403,2017-08-21 08:25:00.000000 +00:00,2017-08-21 09:20:00.000000 +00:00,Scheduled,,3,277,442,4
100,PG0402,2017-09-10 09:25:00.000000 +00:00,2017-09-10 10:20:00.000000 +00:00,Scheduled,,50,104,850,11
101,PG0405,2017-09-01 06:35:00.000000 +00:00,2017-09-01 07:30:00.000000 +00:00,Scheduled,,36,279,512,19
102,PG0404,2017-09-01 16:05:00.000000 +00:00,2017-09-01 17:00:00.000000 +00:00,Scheduled,,21,800,114,9
103,PG0403,2017-09-01 08:25:00.000000 +00:00,2017-09-01 09:20:00.000000 +00:00,Scheduled,,82,128,971,17
104,PG0402,2017-09-01 09:25:00.000000 +00:00,2017-09-01 10:20:00.000000 +00:00,Scheduled,,26,126,948,3
105,PG0403,2017-09-10 08:25:00.000000 +00:00,2017-09-10 09:20:00.000000 +00:00,Scheduled,,26,586,73,13
106,PG0402,2017-08-11 09:25:00.000000 +00:00,2017-08-11 10:20:00.000000 +00:00,Arrived,,65,575,990,19
107,PG0403,2017-08-11 08:25:00.000000 +00:00,2017-08-11 09:20:00.000000 +00:00,Arrived,,16,839,180,4
108,PG0404,2017-08-11 16:05:00.000000 +00:00,2017-08-11 17:00:00.000000 +00:00,Arrived,,17,355,410,22
109,PG0405,2017-08-11 06:35:00.000000 +00:00,2017-08-11 07:30:00.000000 +00:00,Arrived,,26,570,167,14
110,PG0403,2017-08-13 08:25:00.000000 +00:00,2017-08-13 09:20:00.000000 +00:00,Arrived,,2,551,873,6
111,PG0404,2017-09-10 16:05:00.000000 +00:00,2017-09-10 17:00:00.000000 +00:00,Scheduled,,55,836,863,27
112,PG0405,2017-09-10 06:35:00.000000 +00:00,2017-09-10 07:30:00.000000 +00:00,Scheduled,,3,979,699,27
113,PG0404,2017-08-13 16:05:00.000000 +00:00,2017-08-13 17:00:00.000000 +00:00,Arrived,,30,692,133,21
114,PG0405,2017-08-13 06:35:00.000000 +00:00,2017-08-13 07:30:00.000000 +00:00,Arrived,,56,773,990,11
115,PG0402,2017-08-31 09:25:00.000000 +00:00,2017-08-31 10:20:00.000000 +00:00,Scheduled,,9,361,179,25
116,PG0403,2017-08-31 08:25:00.000000 +00:00,2017-08-31 09:20:00.000000 +00:00,Scheduled,,38,520,562,7
117,PG0405,2017-08-27 06:35:00.000000 +00:00,2017-08-27 07:30:00.000000 +00:00,Scheduled,,36,491,740,1
118,PG0404,2017-08-21 16:05:00.000000 +00:00,2017-08-21 17:00:00.000000 +00:00,Scheduled,,18,405,317,30
119,PG0404,2017-08-27 16:05:00.000000 +00:00,2017-08-27 17:00:00.000000 +00:00,Scheduled,,81,618,154,10
120,PG0404,2017-08-31 16:05:00.000000 +00:00,2017-08-31 17:00:00.000000 +00:00,Scheduled,,46,806,350,8
121,PG0405,2017-08-31 06:35:00.000000 +00:00,2017-08-31 07:30:00.000000 +00:00,Scheduled,,92,675,719,12
122,PG0405,2017-08-21 06:35:00.000000 +00:00,2017-08-21 07:30:00.000000 +00:00,Scheduled,,74,511,441,19
123,PG0402,2017-07-29 09:25:00.000000 +00:00,2017-07-29 10:20:00.000000 +00:00,Arrived,,77,709,291,2
124,PG0403,2017-07-29 08:25:00.000000 +00:00,2017-07-29 09:20:00.000000 +00:00,Arrived,,38,569,501,12
125,PG0404,2017-07-29 16:05:00.000000 +00:00,2017-07-29 17:00:00.000000 +00:00,Arrived,,82,153,751,3
126,PG0405,2017-07-29 06:35:00.000000 +00:00,2017-07-29 07:30:00.000000 +00:00,Arrived,,73,406,241,15
127,PG0403,2017-08-27 08:25:00.000000 +00:00,2017-08-27 09:20:00.000000 +00:00,Scheduled,,79,873,51,1
128,PG0402,2017-08-27 09:25:00.000000 +00:00,2017-08-27 10:20:00.000000 +00:00,Scheduled,,33,546,754,11
129,PG0405,2017-07-24 06:35:00.000000 +00:00,2017-07-24 07:30:00.000000 +00:00,Arrived,,63,741,810,18
130,PG0404,2017-07-24 16:05:00.000000 +00:00,2017-07-24 17:00:00.000000 +00:00,Arrived,,56,184,23,24
131,PG0403,2017-07-24 08:25:00.000000 +00:00,2017-07-24 09:20:00.000000 +00:00,Arrived,,9,567,313,3
132,PG0402,2017-07-24 09:25:00.000000 +00:00,2017-07-24 10:20:00.000000 +00:00,Arrived,,61,108,55,16
133,PG0405,2017-08-19 06:35:00.000000 +00:00,2017-08-19 07:30:00.000000 +00:00,Scheduled,,69,918,123,4
134,PG0404,2017-08-19 16:05:00.000000 +00:00,2017-08-19 17:00:00.000000 +00:00,Scheduled,,33,844,158,20
135,PG0403,2017-08-19 08:25:00.000000 +00:00,2017-08-19 09:20:00.000000 +00:00,Scheduled,,6,256,317,19
136,PG0402,2017-08-19 09:25:00.000000 +00:00,2017-08-19 10:20:00.000000 +00:00,Scheduled,,25,869,404,10
137,PG0404,2017-08-25 16:05:00.000000 +00:00,2017-08-25 17:00:00.000000 +00:00,Scheduled,,36,756,218,22
138,PG0405,2017-09-07 06:35:00.000000 +00:00,2017-09-07 07:30:00.000000 +00:00,Scheduled,,55,824,8,1
139,PG0402,2017-07-30 09:25:00.000000 +00:00,2017-07-30 10:20:00.000000 +00:00,Arrived,,51,156,922,9
140,PG0403,2017-07-30 08:25:00.000000 +00:00,2017-07-30 09:20:00.000000 +00:00,Arrived,,29,257,990,16
141,PG0404,2017-07-30 16:05:00.000000 +00:00,2017-07-30 17:00:00.000000 +00:00,Arrived,,92,834,92,13
142,PG0405,2017-07-30 06:35:00.000000 +00:00,2017-07-30 07:30:00.000000 +00:00,Arrived,,47,872,903,25
143,PG0404,2017-09-07 16:05:00.000000 +00:00,2017-09-07 17:00:00.000000 +00:00,Scheduled,,92,294,104,7
144,PG0403,2017-09-07 08:25:00.000000 +00:00,2017-09-07 09:20:00.000000 +00:00,Scheduled,,29,178,159,3
145,PG0402,2017-09-07 09:25:00.000000 +00:00,2017-09-07 10:20:00.000000 +00:00,Scheduled,,49,366,600,18
146,PG0403,2017-08-25 08:25:00.000000 +00:00,2017-08-25 09:20:00.000000 +00:00,Scheduled,,88,697,528,13
147,PG0402,2017-08-28 09:25:00.000000 +00:00,2017-08-28 10:20:00.000000 +00:00,Scheduled,,19,300,308,22
148,PG0403,2017-08-28 08:25:00.000000 +00:00,2017-08-28 09:20:00.000000 +00:00,Scheduled,,67,479,108,29
149,PG0404,2017-08-28 16:05:00.000000 +00:00,2017-08-28 17:00:00.000000 +00:00,Scheduled,,96,543,353,9
150,PG0405,2017-08-28 06:35:00.000000 +00:00,2017-08-28 07:30:00.000000 +00:00,Scheduled,,51,622,81,27
151,PG0405,2017-08-20 06:35:00.000000 +00:00,2017-08-20 07:30:00.000000 +00:00,Scheduled,,61,200,718,26
152,PG0405,2017-07-23 06:35:00.000000 +00:00,2017-07-23 07:30:00.000000 +00:00,Arrived,,67,574,115,16
153,PG0404,2017-07-23 16:05:00.000000 +00:00,2017-07-23 17:00:00.000000 +00:00,Arrived,,80,760,724,26
154,PG0403,2017-07-23 08:25:00.000000 +00:00,2017-07-23 09:20:00.000000 +00:00,Arrived,,73,706,186,27
